alg,num_nodes,unit_size,ops,med_latency,p95_latency,p99_latency,delay_config,packet_loss_config,disable_cpus_config,cpu_limit_config,cpu_freq_config
rabia,4,1.3,5162.4,9663,11743,13359,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,6.7,4988.7,10031,12255,13647,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,13.3,4958.3,10207,12303,14647,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,66.7,4148.7,11759,15903,19407,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,133.3,3552.0,12543,22975,28511,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,666.7,860.5,48639,113215,134271,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,1333.3,435.2,92223,227839,277759,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
rabia,4,2000.0,315.1,132863,282111,382463,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,1.3,16537.1,2743,5419,7671,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,6.7,12238.9,3581,7491,9743,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,13.3,9932.6,4335,9143,12183,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,66.7,4904.6,8671,19263,24671,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,133.3,3197.4,13183,28671,39359,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,666.7,682.1,62207,153599,189695,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,1333.3,362.0,122879,260735,332031,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
raft,4,2000.0,219.1,160639,506367,717823,0_0_0_0,0_0_0_0,0_0_0_0,100_100_100,3.2_3.2_3.2_3.2
racos,6,1.3,26592.7,1480,3765,7351,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,6.7,18491.5,2251,5455,8187,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,13.3,14871.2,2621,6247,9647,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
racos,6,66.7,7118.6,5843,12767,20031,0_0_0_0_0_0,0_0_0_0_0_0,0_0_0_0_0_0,100_100_100_100_100,3.2_3.2_3.2_3.2_3.2_3.2
